Protocol,Dataset,Condition,EER,minDCF,absolute_EER_degradation,relative_EER_degradation_percent,Near_to_Far_absolute_EER_degradation,Near_to_Far_relative_EER_degradation_percent,Near_to_Far_minDCF_degradation
cosine_without_mean_subtraction,only_ca5,Correct,1.8692280491114377,0.16678727970986942,0.0,0.0,,,
cosine_without_mean_subtraction,only_ca5,Near-Age,4.815749870478038,0.45363113790182846,2.9465218213666007,157.63308402991646,,,
cosine_without_mean_subtraction,only_ca5,Shuffle-S3,3.683357867122803,0.3929408475259294,1.8141298180113652,97.05235371755393,,,
cosine_without_mean_subtraction,only_ca5,Shuffle-S4,2.9086931850889384,0.28102976126840634,1.0394651359775007,55.60932688077435,,,
cosine_without_mean_subtraction,only_ca5,Shuffle-Both,6.429223443886157,0.5898882410506513,4.5599953947747185,243.95072591289076,,,
cosine_without_mean_subtraction,only_ca5,Far-Age,9.005271338229125,0.4800906242547359,7.136043289117687,381.76418829740436,4.189521467751087,86.99624316939891,0.026459486352907458
cosine_without_mean_subtraction,only_ca10,Correct,2.9823409039233972,0.25492004143192243,0.0,0.0,,,
cosine_without_mean_subtraction,only_ca10,Near-Age,7.023217037617158,0.5258696915342445,4.040876133693761,135.49343498517607,,,
cosine_without_mean_subtraction,only_ca10,Shuffle-S3,4.70025010736933,0.4599828209079618,1.7179092034459327,57.60271071579877,,,
cosine_without_mean_subtraction,only_ca10,Shuffle-S4,4.482985119874694,0.3654472879771592,1.5006442159512972,50.31766200762412,,,
cosine_without_mean_subtraction,only_ca10,Shuffle-Both,7.909961347042927,0.649306520475964,4.92762044311953,165.22659889877224,,,
cosine_without_mean_subtraction,only_ca10,Far-Age,14.06285526614961,0.7867645201222753,11.080514362226213,371.5374841169003,7.039638228532452,100.23381294964031,0.2608948285880308
cosine_without_mean_subtraction,only_ca15,Correct,4.789406958726581,0.3308212424285155,0.0,0.0,,,
cosine_without_mean_subtraction,only_ca15,Near-Age,10.286660092970845,0.6426609381603088,5.497253134244263,114.77941176470596,,,
cosine_without_mean_subtraction,only_ca15,Shuffle-S3,6.684040005634596,0.5324341456543125,1.894633046908015,39.55882352941176,,,
cosine_without_mean_subtraction,only_ca15,Shuffle-S4,6.187491195943091,0.4629525285251463,1.3980842372165094,29.191176470588236,,,
cosine_without_mean_subtraction,only_ca15,Shuffle-Both,9.842935624735878,0.702598957599659,5.053528666009297,105.51470588235293,,,
cosine_without_mean_subtraction,only_ca15,Far-Age,17.361600225383857,0.9269263276517812,12.572193266657276,262.5,7.074940132413012,68.77781581650113,0.2842653894914724
cosine_without_mean_subtraction,only_ca20,Correct,7.071213640922769,0.40972918756268584,0.0,0.0,,,
cosine_without_mean_subtraction,only_ca20,Near-Age,13.199598796389168,0.7536609829488451,6.128385155466399,86.66666666666664,,,
cosine_without_mean_subtraction,only_ca20,Shuffle-S3,8.72617853560682,0.5862587763289863,1.654964894684051,23.404255319148916,,,
cosine_without_mean_subtraction,only_ca20,Shuffle-S4,7.9037111334002,0.5705115346038063,0.8324974924774304,11.773049645390042,,,
cosine_without_mean_subtraction,only_ca20,Shuffle-Both,11.544633901705115,0.7376128385155452,4.473420260782346,63.262411347517705,,,
cosine_without_mean_subtraction,only_ca20,Far-Age,17.703109327983952,0.9945837512537614,10.631895687061183,150.35460992907798,4.5035105315947845,34.11854103343465,0.24092276830491632
cosine_without_mean_subtraction,vox_ca5,Correct,3.3588816322124515,0.28596102984832855,0.0,0.0,,,
cosine_without_mean_subtraction,vox_ca5,Near-Age,8.156744211151294,0.6038214497760017,4.797862578938842,142.8410734372486,,,
cosine_without_mean_subtraction,vox_ca5,Shuffle-S3,6.718303017218114,0.5522048901603047,3.3594213850056622,100.01606941989364,,,
cosine_without_mean_subtraction,vox_ca5,Shuffle-S4,5.1276515355967,0.40015113078210585,1.768769903384248,52.65948899244724,,,
cosine_without_mean_subtraction,vox_ca5,Shuffle-Both,10.6439250823123,0.7085928644680785,7.285043450099849,216.8889603085324,,,
cosine_without_mean_subtraction,vox_ca5,Far-Age,16.19474280779403,0.635618286824631,12.835861175581577,382.14687449782986,8.037998596642735,98.54420328215983,0.031796837048629234
cosine_without_mean_subtraction,vox_ca10,Correct,4.675527136289172,0.3491650372562489,0.0,0.0,,,
cosine_without_mean_subtraction,vox_ca10,Near-Age,10.244147333932252,0.6413623632616343,5.568620197643081,119.1014410850523,,,
cosine_without_mean_subtraction,vox_ca10,Shuffle-S3,7.658669344184322,0.5898245521323254,2.98314220789515,63.8033342752189,,,
cosine_without_mean_subtraction,vox_ca10,Shuffle-S4,6.82238545685145,0.4816493156476231,2.146858320562278,45.916925685221806,,,
